Kód produktu;Název;Nákupní cena;Prodejní cena;Mare Kè;Mare %;Multishop
121708/231772;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;29.8;17.94;60.2;65
121708/231773;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;29.8;17.94;60.2;65
121708/231774;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";16.94;30.0;13.06;43.53;45
121708/231775;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;29.8;17.94;60.2;65
121708/231776;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;29.8;17.94;60.2;65
121708/231777;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;29.8;17.94;60.2;65
121708/249805;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;29.8;17.94;60.2;65
121708/263382;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;29.8;17.94;60.2;65
121709/231772;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;125.16;113.3;90.52;95
121709/231773;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;125.16;113.3;90.52;95
121709/231774;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";71.16;125.8;54.64;43.43;45
121709/231775;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;125.16;113.3;90.52;95
121709/231776;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;125.16;113.3;90.52;95
121709/231777;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;125.16;113.3;90.52;95
121709/249805;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;125.16;113.3;90.52;95
121709/263382;"Oboustrannı háèek na háèkování vel. 1;2;3;4;5;6;7;8";11.86;125.16;113.3;90.52;95
3076/31343;Spona trojzubec šíøe 20 mm;29.04;36.8;7.76;21.09;25
3076/84513;Spona trojzubec šíøe 20 mm;3.05;36.25;33.2;91.59;95
45075/84513;Spona trojzubec šíøe 20 mm;3.05;330.0;326.95;99.08;100
94777/84513;Spona trojzubec šíøe 20 mm;3.05;141.6;138.55;97.85;100
91424/31344;Spona trojzubec šíøe 25 mm;4.32;51.35;47.03;91.59;95
91425/31344;Spona trojzubec šíøe 25 mm;432.0;470.8;38.8;8.24;10
94778/31344;Spona trojzubec šíøe 25 mm;4.32;200.7;196.38;97.85;100
1186/31345;Spona trojzubec šíøe 30 mm;3.78;39.25;35.47;90.37;95
49799/31345;Spona trojzubec šíøe 30 mm;3.78;409.0;405.22;99.08;100
94780/31345;Spona trojzubec šíøe 30 mm;3.78;153.3;149.52;97.53;100
138212/107252;Kovové rohy na ochranu kabelek / diáøù;0.48;17.8;17.32;97.3;100
138212/279569;Kovové rohy na ochranu kabelek / diáøù;0.48;17.8;17.32;97.3;100
138213/107252;Kovové rohy na ochranu kabelek / diáøù;0.48;57.0;56.52;99.16;100
138213/279569;Kovové rohy na ochranu kabelek / diáøù;0.48;57.0;56.52;99.16;100
138214/107252;Kovové rohy na ochranu kabelek / diáøù;0.0;305.5;305.5;100.0;100
120099/163877;Sada zapínání na kabelku 30x32 mm srdce;13.55;440.7;427.15;96.93;100
120099/204059;Sada zapínání na kabelku 30x32 mm srdce;13.55;440.7;427.15;96.93;100
120099/223856;Sada zapínání na kabelku 30x32 mm srdce;13.55;440.7;427.15;96.93;100
120099/261274;Sada zapínání na kabelku 30x32 mm srdce;13.55;440.7;427.15;96.93;100
61588/163877;Sada zapínání na kabelku 30x32 mm srdce;41.14;68.8;27.66;40.2;45
61588/204059;Sada zapínání na kabelku 30x32 mm srdce;13.55;64.46;50.91;78.98;80
61588/223856;Sada zapínání na kabelku 30x32 mm srdce;13.55;64.46;50.91;78.98;80
61588/261274;Sada zapínání na kabelku 30x32 mm srdce;13.55;64.46;50.91;78.98;80
62457/163877;Sada zapínání na kabelku 30x32 mm srdce;13.55;209.8;196.25;93.54;95
62457/204059;Sada zapínání na kabelku 30x32 mm srdce;13.55;209.8;196.25;93.54;95
62457/223856;Sada zapínání na kabelku 30x32 mm srdce;13.55;209.8;196.25;93.54;95
62457/261274;Sada zapínání na kabelku 30x32 mm srdce;13.55;209.8;196.25;93.54;95
120315/163756;Sada zapínání na tašku 33x41 mm;16.2;526.5;510.3;96.92;100
120315/239189;Sada zapínání na tašku 33x41 mm;510.0;575.0;65.0;11.3;15
120315/276737;Sada zapínání na tašku 33x41 mm;16.2;526.5;510.3;96.92;100
61589/163756;Sada zapínání na tašku 33x41 mm;16.2;77.04;60.84;78.97;80
61589/239189;Sada zapínání na tašku 33x41 mm;54.45;78.2;23.75;30.37;35
61589/276737;Sada zapínání na tašku 33x41 mm;16.2;77.04;60.84;78.97;80
62339/163756;Sada zapínání na tašku 33x41 mm;16.2;250.8;234.6;93.54;95
62339/239189;Sada zapínání na tašku 33x41 mm;230.0;254.6;24.6;9.66;10
62339/276737;Sada zapínání na tašku 33x41 mm;16.2;250.8;234.6;93.54;95
104422/138169;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.68;312.0;311.32;99.78;100
104422/149015;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;316.3;316.3;100.0;100
104422/192701;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;319.4;319.4;100.0;100
104422/209337;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.68;312.0;311.32;99.78;100
43191/138169;"Plastové patentky / stiskací knoflíky mini vel. 16""";680.0;742.7;62.7;8.44;10
43191/149015;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.0;750.2;750.2;100.0;100
43191/209337;"Plastové patentky / stiskací knoflíky mini vel. 16""";680.0;742.7;62.7;8.44;10
47452/138169;"Plastové patentky / stiskací knoflíky mini vel. 16""";0.68;80.5;79.82;99.16;100
